CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,FECHA_INICIO_LICENCIAMIENTO,FECHA_FIN_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
015,UNIVERSIDAD CAT�LICA DE SANTA MAR�A,PRIVADO,LICENCIA OTORGADA,20180104,20240104,6,AREQUIPA,AREQUIPA,AREQUIPA,040101,-16.4061786,-71.5476298,20230601
016,UNIVERSIDAD NACIONAL DE CAJAMARCA,P�BLICO,LICENCIA OTORGADA,20180723,20240723,6,CAJAMARCA,CAJAMARCA,CAJAMARCA,060101,-7.167193596,-78.49652308,20230601
017,UNIVERSIDAD DEL PAC�FICO,PRIVADO,LICENCIA OTORGADA,20160726,20240726,8,LIMA,LIMA,JES�S MAR�A,140133,-12.08432305,-77.04814024,20230601
018,UNIVERSIDAD DE LIMA,PRIVADO,LICENCIA OTORGADA,20160711,20220711,6,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.0839637,-76.97064472,20230601
019,UNIVERSIDAD DE SAN MART�N DE PORRES,PRIVADO,LICENCIA OTORGADA,20170810,20230810,6,LIMA,LIMA,SANTA ANITA,140143,-12.04549813,-76.96765898,20230601
020,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZ�N,PRIVADO,LICENCIA OTORGADA,20161215,20221215,6,LIMA,LIMA,LA MOLINA,140110,-12.0716313,-76.9650529,20230601
029,UNIVERSIDAD DE PIURA,PRIVADO,LICENCIA OTORGADA,20170126,20250126,8,PIURA,PIURA,PIURA,190101,-5.1766923,-80.6346434,20230601
030,UNIVERSIDAD RICARDO PALMA,PRIVADO,LICENCIA OTORGADA,20161230,20221230,6,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.13137641,-76.97952292,20230601
032,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,P�BLICO,LICENCIA OTORGADA,20180618,20240618,6,TACNA,TACNA,TACNA,220101,-18.0251828,-70.2505031,20230601
033,UNIVERSIDAD NACIONAL SANTIAGO ANT�NEZ DE MAYOLO,P�BLICO,LICENCIA OTORGADA,20190103,20250103,6,�NCASH,HUARAZ,INDEPENDENCIA,020102,-9.517640566,-77.52456668,20230601
035,UNIVERSIDAD NACIONAL DE UCAYALI,P�BLICO,LICENCIA OTORGADA,20181119,20241119,6,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,-8.3948987,-74.5776093,20230601
038,UNIVERSIDAD PERUANA UNI�N,PRIVADO,LICENCIA OTORGADA,20180611,20240611,6,LIMA,LIMA,LURIGANCHO,140112,-11.989087,-76.839662,20230601
039,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADO,LICENCIA OTORGADA,20171228,20231228,6,CUSCO,CUSCO,SAN JER�NIMO,070104,-13.53722798,-71.90391768,20230601
043,UNIVERSIDAD PRIVADA DE TACNA,PRIVADO,LICENCIA OTORGADA,20171130,20231130,6,TACNA,TACNA,POCOLLAY,220109,-18.0058389,-70.2254838,20230601
046,UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADO,LICENCIA OTORGADA,20180403,20240403,6,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.127906352,-79.03236073,20230601
049,UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADO,LICENCIA OTORGADA,20171011,20231011,6,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.1363972,-77.0057685,20230601
054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADO,LICENCIA OTORGADA,20171005,20231005,6,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.104061,-76.962902,20230601
055,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADO,LICENCIA OTORGADA,20171113,20231113,6,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.099867684,-79.0190815,20230601
057,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADO,LICENCIA OTORGADA,20171009,20231009,6,LIMA,LIMA,LA MOLINA,140110,-12.07329192,-76.95384422,20230601
062,UNIVERSIDAD CAT�LICA SAN PABLO,PRIVADO,LICENCIA OTORGADA,20171021,20231021,6,AREQUIPA,AREQUIPA,AREQUIPA,040101,-16.3901384,-71.5357161,20230601
068,UNIVERSIDAD CIENT�FICA DEL SUR S.A.C.,PRIVADO,LICENCIA OTORGADA,20180508,20240508,6,LIMA,LIMA,VILLA EL SALVADOR,140141,-12.2215281,-76.9766998,20230601
